Order_id,Order_date,Ship_date,Ship_mode,gender,ip_address,Customer_id,segment,City,State,Country,Category,Sub Category,Product Name,Quantity,Discount,Profit,Shipping Cost
1,3/27/2024,9/2/2024,Express,Female,251.234.115.7,8MF0TK7NU14,Consumer,Bangkok,Bangkok,Thailand,Furniture,Home Decor,Industrial Metal Wall Clock,3,0.2,-$76.56,203.08
2,3/30/2024,7/20/2024,Express,Female,158.170.21.227,4C82FD8HY57,Consumer,Denpasar,Bali,Indonesia,Furniture,Sports Equipment,Chic Marble Coaster Set,8,0,$298.51,202.94
3,11/18/2024,3/17/2024,Standard,Female,176.93.106.247,5XN2PK2JT58,Consumer,Provo,Utah,United States,Technology,Clothing,Minimalist Concrete Coasters,2,0,$65.44,9.2
4,1/13/2025,3/28/2024,Next-day,Female,144.194.190.232,3NC1TJ1YY89,Consumer,Pretoria,Gauteng,South Africa,Office Supplies,Beauty Products,Trendy Succulent Planter,10,0.7,$728.70,202.49
5,5/13/2024,8/29/2024,Standard,Genderfluid,148.196.43.171,6MW2XN9MA94,Consumer,Mexico City,Distrito Federal,Mexico,Technology,Pet Supplies,Chic Acrylic Magazine Holder,4,0.1,-$193.15,202.387
6,9/11/2024,11/14/2024,Next-day,Female,103.235.99.26,4YU9VJ0MT40,Corporate,Gold Coast,Queensland,Australia,Furniture,Books,Rustic Wooden Picture Frame,3,0,$124.01,202.36
7,6/9/2024,3/30/2024,Next-day,Female,192.52.176.71,4WY8U14RU59,Home Office,Toulon,Provence-Alpes-Côte d'Azur,France,Office Supplies,Sports Equipment,Modern Marble Coaster Set,9,0.1,$124.58,202.32
8,6/22/2024,11/9/2024,Express,Female,167.126.12.243,7MF3P94RP43,Consumer,Pune,Maharashtra,India,Furniture,Books,Vintage-Inspired Globe Bar Cart,4,0,$349.20,202.32
9,12/22/2024,3/22/2024,Standard,Agender,136.54.8.25,5QD0KH7MF63,Consumer,Provo,Utah,United States,Technology,Sports Equipment,Boho Rattan Basket,2,0.17,$8.95,4.15
10,12/14/2024,1/6/2025,Economy,Non-binary,133.148.47.123,1U98FM6AF81,Consumer,Longmont,Colorado,United States,Technology,Clothing,Artistic Ceramic Sculpture,3,0,-$6.21,3.86
11,5/18/2024,11/1/2024,Next-day,Female,73.181.143.14,5MU7J49MK66,Consumer,Goyang,Gyeonggi,South Korea,Technology,Toys,Chic Velvet Throw Pillow,9,0.47,-$553.88,202.08
12,1/31/2025,3/27/2024,Next-day,Male,43.242.201.164,5AN0N52NR50,Consumer,Kalyan,Maharashtra,India,Furniture,Outdoor Gear,Chic Rose Gold Earrings,9,0,$48.06,202.06
